month,Central,East,Gulf Coast,Panhandle,West
1,15.229297604022413,14.984710375481713,18.23600612659999,10.634160467380562,14.892554217437192
2,17.446524031179173,16.984210734730002,20.029041699383683,12.826044308377602,17.46770718214281
3,21.874458338207873,21.270793795606135,23.470170696572524,17.67831530639195,21.968873632661385
4,26.102999819929376,25.30160360307836,26.872755601005796,22.731467751363212,26.632809135584495
5,29.534516812700744,28.94322330749877,29.932085370684003,27.12871246574254,30.557450409384668
6,33.364164929744355,32.473616789845515,32.82338640777119,32.045039199262014,34.17528828983182
7,35.39143665671532,34.13207614605582,34.055758453495024,34.12306835108225,34.7141200174246
8,35.690318821362,34.435691041209424,34.53810620066202,33.3136341611632,34.23692096195114
9,32.11280140243192,31.54106965108969,32.21257658942579,29.230569306445343,30.765158622681543
10,27.117573883565015,26.691043964922304,28.583592452448894,23.514503731576657,26.098923882808542
11,20.887237315484743,20.63360484205889,23.433835749419618,16.50742269595799,19.935548331058605
12,16.308795738570982,16.207506043758446,19.48433257945398,11.281131936036687,15.471917028652442
